2018-12-22__19:11 0 [yuxiaowe,reboot,] [] [yuxiaowe_:0_tty7]
2018-12-22__19:19 12 [caohaiya,zale,gaoyu] [Teslagaoyuzhushuo] [zhushuo_192.168.1.238_pts/0 yuxiaowe_192.168.1.76_pts/1 wpz_192.168.1.73_pts/2 gaoyu_192.168.1.169_pts/3 xinyue_192.168.1.156_pts/4]
2018-12-22__19:20 12 [caohaiya,zale,gaoyu] [Teslagaoyuzhushuo] [zhushuo_192.168.1.238_pts/0 yuxiaowe_192.168.1.76_pts/1 wpz_192.168.1.73_pts/2 gaoyu_192.168.1.169_pts/3 xinyue_192.168.1.156_pts/4]
2018-12-22__19:21 12 [caohaiya,zale,gaoyu] [Teslagaoyuzhushuo] [zhushuo_192.168.1.238_pts/0 yuxiaowe_192.168.1.76_pts/1 wpz_192.168.1.73_pts/2 gaoyu_192.168.1.169_pts/3 xinyue_192.168.1.156_pts/4]
2018-12-22__19:22 12 [caohaiya,zale,gaoyu] [Teslagaoyuzhushuo] [zhushuo_192.168.1.238_pts/0 yuxiaowe_192.168.1.76_pts/1 wpz_192.168.1.73_pts/2 gaoyu_192.168.1.169_pts/3 xinyue_192.168.1.156_pts/4 wpz_192.168.1.73_pts/5]
2018-12-22__19:23 12 [caohaiya,zale,gaoyu] [Teslagaoyuzhushuo] [zhushuo_192.168.1.238_pts/0 yuxiaowe_192.168.1.76_pts/1 wpz_192.168.1.73_pts/2 gaoyu_192.168.1.169_pts/3 xinyue_192.168.1.156_pts/4 wpz_192.168.1.73_pts/5]
2018-12-22__19:24 12 [caohaiya,zale,gaoyu] [Teslagaoyuzhushuo] [zhushuo_192.168.1.238_pts/0 yuxiaowe_192.168.1.76_pts/1 wpz_192.168.1.73_pts/2 gaoyu_192.168.1.169_pts/3 xinyue_192.168.1.156_pts/4 wpz_192.168.1.73_pts/5]
2018-12-22__19:25 12 [caohaiya,zale,gaoyu] [Teslagaoyuzhushuo] [zhushuo_192.168.1.238_pts/0 yuxiaowe_192.168.1.76_pts/1 wpz_192.168.1.73_pts/2 gaoyu_192.168.1.169_pts/3 xinyue_192.168.1.156_pts/4 wpz_192.168.1.73_pts/5]
2018-12-22__19:26 12 [caohaiya,zale,gaoyu] [Teslagaoyuzhushuo] [zhushuo_192.168.1.238_pts/0 yuxiaowe_192.168.1.76_pts/1 wpz_192.168.1.73_pts/2 gaoyu_192.168.1.169_pts/3 xinyue_192.168.1.156_pts/4 wpz_192.168.1.73_pts/5]
2018-12-22__19:27 13 [caohaiya,gaoyu,zale] [Teslagaoyuzhushuo] [zhushuo_192.168.1.238_pts/0 yuxiaowe_192.168.1.76_pts/1 wpz_192.168.1.73_pts/2 gaoyu_192.168.1.169_pts/3 xinyue_192.168.1.156_pts/4 wpz_192.168.1.73_pts/5 gaoyu_192.168.1.169_pts/6 zoe_192.168.1.164_pts/7 zhushuo_192.168.1.238_pts/8]
