2018-12-22__19:11 0 [yuxiaowe,reboot,] [] [yuxiaowe_:0_tty7]
2018-12-22__19:18 13 [zale,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:19 13 [zale,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:20 13 [zale,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:21 13 [zale,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:22 13 [zale,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:23 13 [zale,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:24 13 [zale,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:25 13 [zale,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2]
2018-12-22__19:26 14 [zale,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2 wpz_192.168.1.73_pts/3]
2018-12-22__19:27 14 [zale,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2 wpz_192.168.1.73_pts/3]
2018-12-22__19:28 14 [zale,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2 wpz_192.168.1.73_pts/3]
2018-12-22__19:29 14 [zale,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2 wpz_192.168.1.73_pts/3]
2018-12-22__19:30 14 [zale,gaoyu,zhushuo] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 yuxiaowe_192.168.1.76_pts/2 wpz_192.168.1.73_pts/3]
