2018-12-22__19:11 0 [yuxiaowe,reboot,] [] [yuxiaowe_:0_tty7]
2018-12-22__19:18 10 [gaoyu,zhushuo,caohaiya] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 xinyue_192.168.1.156_pts/2 yuxiaowe_192.168.1.76_pts/3]
2018-12-22__19:19 10 [gaoyu,zhushuo,caohaiya] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 xinyue_192.168.1.156_pts/2 yuxiaowe_192.168.1.76_pts/3]
2018-12-22__19:20 10 [gaoyu,zhushuo,caohaiya] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 xinyue_192.168.1.156_pts/2 yuxiaowe_192.168.1.76_pts/3]
2018-12-22__19:21 10 [gaoyu,zhushuo,caohaiya] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 xinyue_192.168.1.156_pts/2 yuxiaowe_192.168.1.76_pts/3]
2018-12-22__19:22 10 [gaoyu,zhushuo,caohaiya] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 xinyue_192.168.1.156_pts/2 yuxiaowe_192.168.1.76_pts/3]
2018-12-22__19:23 11 [gaoyu,zhushuo,caohaiya] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 xinyue_192.168.1.156_pts/2 yuxiaowe_192.168.1.76_pts/3 wpz_192.168.1.73_pts/4]
2018-12-22__19:24 11 [gaoyu,zhushuo,caohaiya] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 xinyue_192.168.1.156_pts/2 yuxiaowe_192.168.1.76_pts/3 wpz_192.168.1.73_pts/4]
2018-12-22__19:25 11 [gaoyu,zhushuo,caohaiya] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 xinyue_192.168.1.156_pts/2 yuxiaowe_192.168.1.76_pts/3 wpz_192.168.1.73_pts/4]
2018-12-22__19:26 11 [gaoyu,zhushuo,caohaiya] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 xinyue_192.168.1.156_pts/2 yuxiaowe_192.168.1.76_pts/3 wpz_192.168.1.73_pts/4]
2018-12-22__19:27 11 [gaoyu,zhushuo,caohaiya] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 xinyue_192.168.1.156_pts/2 yuxiaowe_192.168.1.76_pts/3 wpz_192.168.1.73_pts/4]
2018-12-22__19:28 11 [gaoyu,zhushuo,caohaiya] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 xinyue_192.168.1.156_pts/2 yuxiaowe_192.168.1.76_pts/3 wpz_192.168.1.73_pts/4]
2018-12-22__19:29 11 [gaoyu,zhushuo,caohaiya] [Teslagaoyupizhushuo] [zhushuo_192.168.1.238_pts/0 gaoyu_192.168.1.169_pts/1 xinyue_192.168.1.156_pts/2 yuxiaowe_192.168.1.76_pts/3 wpz_192.168.1.73_pts/4]
