2018-12-22__20:36:09 0.64 68.00 36.00°C note
2018-12-22__20:36:15 0.63 33.00 36.00°C normal
2018-12-22__20:36:20 0.65 20.00 38.00°C normal
2018-12-22__20:36:26 0.66 68.00 38.00°C note
2018-12-22__20:36:32 0.66 6.00 37.00°C normal
2018-12-23__09:24:03 average:0.65 0.73  8.00 22.00°C normal
2018-12-23__09:24:09 average:0.59 0.72  2.00 21.00°C normal
2018-12-23__09:24:14 average:0.55 0.71  3.00 22.00°C normal
2018-12-23__09:24:20 average:0.62 0.72  1.00 22.00°C normal
2018-12-23__09:24:25 average:0.57 0.70  0.00 22.00°C normal
2018-12-23__09:24:31 average:0.61 0.71  4.00 22.00°C normal
2018-12-23__09:24:36 average:0.56 0.70  11.00 22.00°C normal
2018-12-23__09:24:42 average:0.51 0.68  1.00 22.00°C normal
2018-12-23__09:24:48 average:0.47 0.67  17.00 22.00°C normal
2018-12-23__09:24:53 average:0.51 0.68  10.00 22.00°C normal
2018-12-23__10:13:12 0.94 1.14 0.95 10.00 49.00°C normal
2018-12-23__10:13:18 0.86 1.12 0.95 2.00 49.00°C normal
2018-12-23__10:13:24 0.79 1.10 0.94 26.00 49.00°C normal
2018-12-23__10:13:29 0.81 1.10 0.94 46.00 49.00°C normal
2018-12-23__10:13:35 0.91 1.11 0.95 44.00 49.00°C normal
2018-12-23__10:13:41 1.15 1.16 0.97 39.00 49.00°C normal
2018-12-23__10:13:46 1.05 1.14 0.96 71.00 49.00°C warning
2018-12-23__10:13:52 1.21 1.17 0.97 55.00 50.00°C note
2018-12-23__10:13:58 1.19 1.17 0.97 72.00 50.00°C warning
2018-12-23__10:14:04 1.09 1.15 0.97 60.00 50.00°C note
2018-12-23__10:14:09 1.01 1.13 0.96 64.00 50.00°C note
2018-12-23__10:14:15 1.01 1.12 0.96 56.00 51.00°C note
2018-12-23__10:14:21 0.92 1.11 0.96 57.00 50.00°C note
2018-12-23__10:14:26 1.18 1.15 0.98 31.00 51.00°C normal
2018-12-23__10:14:32 1.32 1.18 0.99 70.00 50.00°C warning
2018-12-23__10:14:37 1.30 1.18 0.99 66.00 52.00°C note
2018-12-23__10:14:43 1.19 1.16 0.98 15.00 49.00°C normal
2018-12-23__10:14:49 1.26 1.17 0.99 5.00 49.00°C normal
2018-12-23__10:14:54 1.56 1.24 1.01 9.00 49.00°C normal
2018-12-23__10:15:00 1.59 1.25 1.02 7.00 49.00°C normal
2018-12-23__10:15:05 1.55 1.25 1.01 22.00 50.00°C normal
2018-12-23__10:15:11 1.42 1.22 1.01 10.00 50.00°C normal
2018-12-23__10:15:17 1.28 1.20 1.00 18.00 49.00°C normal
2018-12-23__10:15:22 1.41 1.23 1.01 21.00 49.00°C normal
2018-12-23__10:15:30 1.46 1.24 1.02 18.00 48.00°C normal
2018-12-23__10:15:35 1.34 1.22 1.01 33.00 49.00°C normal
2018-12-23__10:15:41 1.32 1.22 1.01 9.00 48.00°C normal
2018-12-23__10:15:47 1.27 1.21 1.01 28.00 49.00°C normal
2018-12-23__10:15:52 1.17 1.19 1.01 24.00 48.00°C normal
2018-12-23__10:15:58 1.08 1.17 1.00 2.00 48.00°C normal
2018-12-23__10:16:04 0.99 1.15 0.99 10.00 49.00°C normal
